DATA LENGTH(steps) :
4798
STEP LENGTH(sec) :
0.005000

dPCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REB,         RWY,         RWP,         LSP,         LSR,         LSY,         LEB,         LWY,         LWP,         NKY,         NK1,         NK2,         RF1,         RF2,         RF3,         RF4,         RF5,         LF1,         LF2,         LF3,         LF4,         LF5

0.000000     1.000000     -0.000000    -0.000000    0.000000     0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000    
-0.000000    1.000000     -0.000000    -0.000000    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -63.500000   -63.500000   -63.500000   -63.500000   0.000000     -63.500000   -63.500000   -63.500000   -63.500000  
-0.000000    1.000000     -0.000000    -0.000000    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000000    1.000000     -0.000000    -0.000000    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000000    1.000000     -0.000000    -0.000000    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000000    1.000000     -0.000000    -0.000000    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000000    1.000000     -0.000000    -0.000001    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000000    1.000000     -0.000000    -0.000001    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000001    1.000000     -0.000000    -0.000002    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000001    1.000000     -0.000000    -0.000003    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000001    1.000000     -0.000000    -0.000004    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000001    1.000000     -0.000000    -0.000006    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000002    1.000000     -0.000000    -0.000008    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000002    1.000000     -0.000000    -0.000011    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000003    1.000000     -0.000000    -0.000014    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000003    1.000000     -0.000000    -0.000018    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000004    1.000000     -0.000000    -0.000023    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000005    1.000000     -0.000000    -0.000029    -0.000000    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000005    1.000000     -0.000001    -0.000035    -0.000001    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000006    1.000000     -0.000001    -0.000043    -0.000001    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000007    1.000000     -0.000001    -0.000052    -0.000001    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000008    1.000000     -0.000001    -0.000063    -0.000001    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000009    1.000000     -0.000001    -0.000074    -0.000001    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000011    1.000000     -0.000001    -0.000088    -0.000001    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000012    1.000000     -0.000001    -0.000102    -0.000002    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000013    1.000000     -0.000001    -0.000119    -0.000002    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000015    1.000000     -0.000002    -0.000136    -0.000002    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000017    1.000000     -0.000002    -0.000156    -0.000002    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
